instruction,input,response
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Panerte lammekoteletter med grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lammecurry. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Høstsalat med kylling og ovnsbakte grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingtaco med granateple og mango. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fisketaco med laks og avokado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stroganoff med sopp. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Thai red curry med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde kjøttkaker i brun saus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med spekeskinke og pesto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt indrefilet med hasselback poteter og kremet sopp. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Rask cheeseburger med chipotlemajones. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt laksefilet med brokkoli og tomater. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Speltrisotto med bakte rotgrønnsaker og paprikasaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pannekaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllinggryte med bacon og sopp. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sodd. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtebakt kveitefilet med honningglaserte rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stifado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med mango- og avokadosalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Oksestek med stekte grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt laks med kremet saus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk norsk taco – fersk og hjemmelaget. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Posjert kveite med smørdampede grønnsaker og sandefjordsmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med indrefilet og pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskeburger med tzatziki og eple. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ravioli med sopp. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt torsk med hvitløksmør og søtpotet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget chili con carne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pastasalat med skinke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel bacalao. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kjøttboller. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt laks med spisskål og grønnkål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt torsk med kikerter og chorizo. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baked feta pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grove quesadillas med kylling og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med mango- og avokadosalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kveite med mandler og hvitløkssmør. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling parmesan. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Cæsarsalat med kylling og bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta a la vodka. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde fiskeboller. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Poke bowl med laks, mango og granateple. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kjøttboller og rød pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Potet- og purreløksuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quesadillas med entrecôte. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med kylling og bacon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grønnsakslasagne med søtpotet, aubergine og grønnkål. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk pasta carbonara. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Boeuf Bourguignon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hvit pizza med sopp og rødkittost. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde fiskekaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatiske blåskjell. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget nigiri sushi. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pizza capricciosa. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Thaisalat med peanøttdressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk risotto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Verdens beste lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk pasta carbonara. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Jennifer Aniston salat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sitronbakt sei med sellerirotpuré. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Thai red curry med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling i airfryer. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde kjøttkaker i brun saus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tacogryte med bønner og tomat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel lys lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med svinefilet og pesto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt kylling med ovnsbakte rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk coq au vin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet kyllinggryte med bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Angusburger med blåmuggost. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Rask fiskegryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Kyllingburger med bacon, guacamole og karamellisert løk. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grateng med rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med søtpotetmos og brokkolisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med pesto og fetaost. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hot kyllingsuppe med eple og gulrot. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: One pot pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt TikTok tomatsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Salat med asparges, laks og jordbær. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel middelhavspasta med oliven. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet soppsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sommerruller med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarlasagne med linser. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med krabbe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet fiskesuppe - MENYs egen. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Spicy ostepølse med syltet rødløk. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med spekeskinke og pesto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk pasta carbonara. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: BBQ cheeseburger med coleslaw. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt middelhavskylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig lakseburger med coleslaw. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Bakt søtpotet med fetaost, avokado og soltørket tomat. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling red curry. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskekake i pita. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Indisk grønnsaksgryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Frisk salat med appelsindressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pai med røkelaks og asparges. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet lakseburger med mangosalsa. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Omelettwrap med grillet kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pastasalat med skinke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingsalat med honningdressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling med blomkålris og appelsin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel butter chicken. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskeburger med tzatziki og eple. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i folie med ramsløksmør. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i form med creme fraiche og appelsin. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt svinefilet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Klassisk Angusburger med cheddar, bacon og sprøstekt løk. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillspyd med svin og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med søtpotetmos og brokkolisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med tomat og basilikum. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baked feta pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quesadillas med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sprø tofu wrap. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsalat med syrlig dressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Poke bowl med laks, mango og granateple. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ceviche med laks og mango. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk risotto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med pesto og fetaost. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingpai med mozzarella. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskeburger med røkelaks og rødløk. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Green curry med villreker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Glaserte asparges med grillet laks og urte-hollandaise. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet vårløk med potetkrem og surdeigsbrød. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig grønnkålpai. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med couscous. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks teriyaki med ris. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pølsegrateng med pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sushivaffel. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med syltet rødløk. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling fajitas. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tortellini med kylling og pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt kylling med ovnsbakte rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Angusburger med blåmuggost. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Smash burger. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tortelliniform med pølse. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskeburger med tzatziki og eple. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel kylling Gong Bao. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med søtpotetmos og brokkolisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling med blomkålris og appelsin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grønnsakssuppe med pølse. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Philly cheese steak med biff. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med avokadokrem. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk minestronesuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med mango. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kyllingfilet med appelsinsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling red curry. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med ovnsbakte grønnsaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe med kikerter og grønnkål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med tzatziki. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllinggryte med fløte og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatiske bao buns. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel Tikka Masala med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sliders med krabbe og srirachamajones. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget butter chicken. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kjøttfri indisk kofta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta al limone. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingwok med hoisinsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta a la vodka. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Chili sin carne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wok med villreker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde fiskekaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pizza med biffsnadder. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarlasagne med linser. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarisk høstgryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Strimlet lam i ølsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bali kyllinggryte. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt laks med kremet saus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gratinert kjøttform. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkåltaco med mangosalsa. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt ris med egg og kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Linsegryte med chili og ingefær. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Halloumisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget vegetardeig til taco. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingsandwich med avokado og søt sennep. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet kyllinggryte med bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Red curry med kongereker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grov fiskeburger med avokado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enchiladas med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: BBQ cheeseburger med coleslaw. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Salsiccia med syltet rødløk og potetbåter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk laks med mangosalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet fiskegryte med laks. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Loaded veggie nachos. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hamburger i focaccia med grillet løk og aioli. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tortelliniform med pølse. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bakt søtpotet med vegansk fyll. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asparges med sitronhollandaise. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Gulrotsuppe med chili, appelsin og ingefær. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bakt søtpotet med ingefær og gressløksmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Green curry med kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Italiensk kyllinggryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Bakt søtpotet med mango, avokado og granateple. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bakt gulrotsalat med druer og nøtter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ramen nudelsuppe med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kylling med blomkålris. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta Bolognese. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enchiladas med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fullkornswrap med reinskav og cashewnøtter. Offers: .,Low relevance
